name,party,state,incumbent_challenge,candidate_id,office,active
"KEENER, LOGAN BENJAMIN DR",REPUBLICAN PARTY,NC,Open seat,S6NC00555,Senate,N
"KEHOE, CHRISTOPHER",DEMOCRATIC PARTY,MT,Open seat,S6MT00303,Senate,N
"KELLY, ROBIN",DEMOCRATIC PARTY,IL,Open seat,S6IL00474,Senate,C
"KENNEDY, WENDE CAROL MS",REPUBLICAN PARTY,KY,Open seat,S6KY00229,Senate,N
"KESSLER, JEFFREY VINCENT",DEMOCRATIC PARTY,WV,Challenger,S6WV00196,Senate,C
"KHAN, GULREZ",REPUBLICAN PARTY,TX,Challenger,S6TX00362,Senate,C
"KINCAID, RONALD E JR",DEMOCRATIC PARTY,OH,Challenger,S6OH00361,Senate,C
"KING, JOHN",REPUBLICAN PARTY,GA,Challenger,S6GA00382,Senate,C
"KLEBAN, DAN",DEMOCRATIC PARTY,ME,Challenger,S6ME00381,Senate,C
"KOHLER, JOSEPH ANTHONY",DEMOCRATIC PARTY,NY,Challenger,S6NY00458,Senate,N
"KOHLER, JOSEPH ANTHONY",DEMOCRATIC PARTY,NY,Challenger,S6NY00441,Senate,N
"KOHLHAAS, SCOTT A.",LIBERTARIAN PARTY,AK,,S8AK00066,Senate,N
"KOVALY, ROBERT",TAXPAYERS,MI,Open seat,S6MI00541,Senate,N
"KRISHNAMOORTHI, S",DEMOCRATIC PARTY,IL,Open seat,S6IL00482,Senate,C
"KUEBLER, JOSHUA WILLIAM",INDEPENDENT,CO,Challenger,S6CO00390,Senate,N
"LABRANCHE, JAMIE",WRITE-IN,LA,Challenger,S6LA00557,Senate,N
"LAEHN, THOMAS RAYMOND DR.",LIBERTARIAN PARTY,IA,Open seat,S6IA00181,Senate,C
"LAFLAMME, ANDREA",DEMOCRATIC PARTY,ME,Challenger,S6ME00340,Senate,C
"LAMARE, DENNIS",REPUBLICAN PARTY,NH,Open seat,S6NH00216,Senate,N
"LANG, JAKE",REPUBLICAN PARTY,FL,Challenger,S6FL00657,Senate,C
"LAPLANTE, EDMOND",,NH,Open seat,S2NH00223,Senate,N
"LAPORTE, CHASE",REPUBLICAN PARTY,KS,Challenger,S6KS00254,Senate,N
"LAROSE, JOSUE ECONOMIST",REPUBLICAN PARTY,FL,Challenger,S6FL00624,Senate,N
"LARRIETT, DAKARAI",DEMOCRATIC PARTY,AL,Open seat,S6AL00427,Senate,C
"LATZ, KEVIN",DEMOCRATIC PARTY,KS,Challenger,S6KS00320,Senate,C
"LAU, LYNNEA MS.",DEMOCRATIC PARTY,OH,Challenger,S6OH00338,Senate,N
"LAVANN, REBEKAH JEQETTA",DEMOCRATIC PARTY,OK,Challenger,S6OK04189,Senate,N
"LAVE, DENNY",REPUBLICAN PARTY,ID,Challenger,S6ID00161,Senate,C
"LAVENDER, LAMONT",DEMOCRATIC PARTY,AL,Open seat,S6AL00492,Senate,N
"L, BEN R JR.",REPUBLICAN PARTY,NM,Challenger,S6NM01129,Senate,N
"LEAVELL, STANLEY MR.",DEMOCRATIC PARTY,IL,Open seat,S6IL00433,Senate,N
"LEBOVICS, ROBERT",REPUBLICAN PARTY,NJ,Challenger,S6NJ00438,Senate,C
"LEGETTE, KIA",DEMOCRATIC PARTY,GA,Challenger,S6GA00424,Senate,N
"LESLIE, DAVID BRYAN",DEMOCRATIC PARTY,AK,Challenger,S6AK00300,Senate,N
"LETLOW, JULIA",REPUBLICAN PARTY,LA,Challenger,S6LA00664,Senate,C
"LEVY, GREGORY LEE",INDEPENDENT,OH,Challenger,S6OH00395,Senate,C
"LINDLEY, JON",INDEPENDENT,RI,Challenger,S6RI00254,Senate,N
"LITTELL, ALBERT R",DEMOCRATIC PARTY,MS,Challenger,S6MS00117,Senate,N
"LITTLE, JEB",REPUBLICAN PARTY,AR,Challenger,S6AR00215,Senate,C
"LONG, PAMELA",REPUBLICAN PARTY,IL,Open seat,S6IL00540,Senate,C
"LONG, TIMOTHY E",U.S. TAXPAYERS PARTY,MI,,S6MI00566,Senate,N
"LOPEZ FRANZEN, MELISA",DEMOCRATIC PARTY,MN,Open seat,S6MN00465,Senate,C
"LOUD, PAIGE",DEMOCRATIC PARTY,ME,Challenger,S6ME00431,Senate,C
"LOUIS, DONAVAN ARTHUR MR",INDEPENDENT,SC,Challenger,S6SC04353,Senate,N
"LOUVE, MARY",DEMOCRATIC PARTY,DE,Challenger,S6DE00230,Senate,N
"LUJAN, BEN RAY",DEMOCRATIC PARTY,NM,Incumbent,S0NM00058,Senate,C
"LUMMIS, CYNTHIA MARIE MRS.",REPUBLICAN PARTY,WY,Incumbent,S0WY00137,Senate,C
"LYLES, TAMIKA MS",DEMOCRATIC PARTY,FL,Challenger,S6FL00673,Senate,C
"LYNCH, MARK",REPUBLICAN PARTY,SC,Challenger,S6SC04213,Senate,C
"MALDONADO, JUSTIN JUAN",INDEPENDENT,NJ,Challenger,S6NJ00446,Senate,N
"MANCE, PATRICIA ANNETTE MISS",,NY,Challenger,S6NY00466,Senate,N
"MANN, RENNIE HILL",REPUBLICAN PARTY,TX,Challenger,S6TX00297,Senate,N
"MANZUR, KARISHMA",DEMOCRATIC PARTY,NH,Open seat,S6NH00182,Senate,C
"MARCHAND MINCIELI, PAIGE SUNDANCE",REPUBLICAN PARTY,FL,Challenger,S6FL00947,Senate,N
"MARKER, LARRY E",REPUBLICAN PARTY,NM,Challenger,S6NM01186,Senate,C
"MARKERT, GEORGE WASHINGTON MR V",REPUBLICAN PARTY,CO,Challenger,S6CO00424,Senate,C
"MARKEY, EDWARD SEN.",DEMOCRATIC PARTY,MA,Incumbent,S4MA00028,Senate,C
"MARSHALL, ROGER W",REPUBLICAN PARTY,KS,Incumbent,S0KS00315,Senate,C
"MARSHALL, STEVEN T",REPUBLICAN PARTY,AL,Challenger,S6AL00450,Senate,C
"MARSH, DOUGLAS PHILIP",GREEN PARTY,MI,Open seat,S4MI00512,Senate,N
"MARTIN, ANDY",REPUBLICAN PARTY,NH,,S4NH00096,Senate,N
"MARVIN, MIKE",OTHER,NE,Challenger,S6NE00152,Senate,C
"MATTHEWS, YOSHI D.",INDEPENDENT,TN,Challenger,S6TN00364,Senate,N
"MAXWELL, BRYAN",DEMOCRATIC PARTY,IL,Open seat,S6IL00649,Senate,C
"MCALMOND, RUSSELL",REPUBLICAN PARTY,OR,Challenger,S6OR05200,Senate,N
"MCBRIDE, EVELYN JANE'-MARIE DR",DEMOCRATIC PARTY,FL,Challenger,S6FL00665,Senate,N
"MCBRIDE, MARK STROTHERS",REPUBLICAN PARTY,SC,,S4SC00117,Senate,N
"MCCANTS, KEVIN LEE MR.",DEMOCRATIC PARTY,TN,Challenger,S6TN00406,Senate,N
"MCCOLUMN, JONATHAN MR",REPUBLICAN PARTY,GA,Challenger,S2GA00282,Senate,C
"MCCONNELL, MITCH",REPUBLICAN PARTY,KY,Incumbent,S2KY00012,Senate,C
"MCCORMICK, LISA",DEMOCRATIC PARTY,NJ,Challenger,S6NJ00388,Senate,N
"MCELWAIN, HEATHER G",REPUBLICAN PARTY,AK,Challenger,S6AK00292,Senate,N
"MCGINNIS, BRIAN",GREEN PARTY,NC,Open seat,S6NC00464,Senate,C
"MCGRATH, AMY",DEMOCRATIC PARTY,KY,Open seat,S0KY00339,Senate,C
"MCGUIRE, DOUGLAS RYAN",REPUBLICAN PARTY,IN,Challenger,S6IN00233,Senate,N
"MCGUIRE, DOUGLAS RYAN",REPUBLICAN PARTY,IN,Challenger,S6IN00266,Senate,N
"MCGUIRE, DOUGLAS RYAN",REPUBLICAN PARTY,IN,Challenger,S6IN00241,Senate,N
"MCGUIRE, DOUGLAS RYAN",REPUBLICAN PARTY,IN,Challenger,S6IN00258,Senate,N
"MCGURR, MATTHEW E.",DEMOCRATIC PARTY,CA,Challenger,S6CA01038,Senate,N
"MCKAY, RAYMOND TYLER MR",REPUBLICAN PARTY,RI,Challenger,S4RI00051,Senate,C
"MCKINNEY, BRYAN",REPUBLICAN PARTY,WV,Challenger,S4WV00365,Senate,N
"MCLAUGHLIN, KATE",DEMOCRATIC PARTY,MT,Open seat,S6MT00279,Senate,N
"MCMORROW, MALLORY",DEMOCRATIC PARTY,MI,Open seat,S6MI00392,Senate,C
"MCNABB, BARRETT ANTHONY",REPUBLICAN PARTY,TX,Challenger,S6TX00347,Senate,C
"MCNEAL, JUSTIN S",REPUBLICAN PARTY,SD,Challenger,S6SD01133,Senate,C
"MCNULTY, JANET",REPUBLICAN PARTY,WV,,S4WV00407,Senate,C
"MEAD, SAMUEL",REPUBLICAN PARTY,WY,Challenger,S6WY00225,Senate,C
"MEINHARDT, RON",INDEPENDENT,OK,Challenger,S6OK04205,Senate,C
"MERKLEY, JEFFREY ALAN",DEMOCRATIC PARTY,OR,Incumbent,S8OR00207,Senate,C
"MIGUEZ, BLAKE",REPUBLICAN PARTY,LA,Challenger,S6LA00540,Senate,C
"MIKLOS, CHRISTOPHER",REPUBLICAN PARTY,AK,Challenger,S6AK00243,Senate,N
"MILLER-WATKINS, CIVIL",DEMOCRATIC PARTY,TN,,S4TN00534,Senate,N
"MILLS, JANET TRAFTON",DEMOCRATIC PARTY,ME,Challenger,S6ME00407,Senate,C
"MINA, ALDOUS D",REPUBLICAN PARTY,VA,Challenger,S0VA00112,Senate,N
"MINER, NICHOLE",DEMOCRATIC PARTY,CO,Challenger,S6CO00416,Senate,N
"MINK, AUSTIN JAMES",INDEPENDENT,IL,Open seat,S8IL00215,Senate,N
"MISSERI, MICHAEL",,NJ,Challenger,S6NJ00370,Senate,N
"MITCHELL, DARIUS L.",REPUBLICAN PARTY,SC,,S6SC04387,Senate,N
"MIXON, ANDREW WOODRUFF MR",FEDERALIST,TN,Challenger,S6TN00331,Senate,N
"MIXON, ANDREW WOODRUFF MR",INDEPENDENT,TN,Challenger,S6TN00323,Senate,N
"MIZUSAWA, BERT K",REPUBLICAN PARTY,VA,Challenger,S8VA00321,Senate,C
"MOODY, ASHLEY",REPUBLICAN PARTY,FL,Incumbent,S6FL00640,Senate,C
"MOORE, FELIX BARRY",REPUBLICAN PARTY,AL,Open seat,S6AL00476,Senate,C
"MORAN, MARK",INDEPENDENT,VA,Challenger,S6VA00218,Senate,N
"MORGUL, EMILY",DEMOCRATIC PARTY,TX,Challenger,S6TX00453,Senate,N
"MOROTT, JOSHUA",REPUBLICAN PARTY,LA,Challenger,S6LA00565,Senate,N
"MORRIS, NATE",REPUBLICAN PARTY,KY,Open seat,S6KY00302,Senate,C
"MORROW, MICHELE",REPUBLICAN PARTY,NC,Open seat,S6NC00522,Senate,C
"MORSE, CHUCK",REPUBLICAN PARTY,NH,Open seat,S2NH00249,Senate,N
"MOULTON, SETH",DEMOCRATIC PARTY,MA,Challenger,S6MA00296,Senate,C
"MUHAMMAD, TYRONE",INDEPENDENT,IL,Open seat,S6IL00557,Senate,N
"MUJICA, HECTOR DANIEL",DEMOCRATIC PARTY,FL,Challenger,S6FL00806,Senate,C
"MULLIN, MARKWAYNE",REPUBLICAN PARTY,OK,Incumbent,S2OK00186,Senate,C
"MUNOZ, LUIS DANIEL DR",DEMOCRATIC PARTY,RI,Challenger,S6RI00304,Senate,N
"MURPHY, JUSTIN MICHAEL LL.M.",REPUBLICAN PARTY,NJ,Challenger,S4NJ00532,Senate,C
"MURPHY, MICHAEL ANTHONY",DEMOCRATIC PARTY,PA,Challenger,S6PA00332,Senate,N
"MURPHY, MORGAN W. W.",REPUBLICAN PARTY,AL,Open seat,S6AL00484,Senate,C
"MURRAY, ERIK",DEMOCRATIC PARTY,KS,Challenger,S6KS00270,Senate,C
"NEILL, REILLY",DEMOCRATIC PARTY,MT,Open seat,S6MT00238,Senate,C
"NICKEL, WILEY",DEMOCRATIC PARTY,NC,Open seat,S6NC00340,Senate,C
"NILSSON, ROBERT ANDERS MR",REPUBLICAN PARTY,NC,Open seat,S6NC00357,Senate,N
"NIXON, ANGELA",DEMOCRATIC PARTY,FL,Challenger,S6FL00830,Senate,C
"NORD, BILLY",DEMOCRATIC-FARMER-LABOR,MN,Open seat,S6MN00473,Senate,N
"NORMAN, RALPH",REPUBLICAN PARTY,SC,,S6SC04445,Senate,C
"NORRIS, JACKIE",DEMOCRATIC PARTY,IA,Open seat,S6IA00280,Senate,C
"OCONNELL, MELISSA MIRA",INDEPENDENT,NM,Challenger,S6NM01160,Senate,N
"ODE, FREDERICK J",DEMOCRATIC PARTY,OH,Challenger,S6OH00387,Senate,C
"OLIVER, BENTLEY",REPUBLICAN PARTY,SC,Challenger,S6SC04411,Senate,N
"ONYEJIAKA, DIANA",DEMOCRATIC PARTY,TN,Challenger,S0TN00193,Senate,N
"ORTEGA, JANUARIO MR.",REPUBLICAN PARTY,IL,Open seat,S6IL00573,Senate,N
"OSBORN, DAN",INDEPENDENT,NE,Challenger,S4NE00207,Senate,C
"OSSOFF, T. JONATHAN",DEMOCRATIC PARTY,GA,Incumbent,S8GA00180,Senate,C
"PALMER, ROBERT A MR",DEMOCRATIC PARTY,IL,Open seat,S6IL00524,Senate,N
"PAPPAS, CHRIS",DEMOCRATIC PARTY,NH,Open seat,S6NH00141,Senate,C
"PARELKAR, LOIS ANNE ELIZABETH LEA",DEMOCRATIC PARTY,KS,Challenger,S6KS00239,Senate,C
"PARKER, GLENDA GAIL",REPUBLICAN PARTY,SC,,S6SC04460,Senate,N
"PARVEZ, TARIQ",REPUBLICAN PARTY,PA,Challenger,S6PA00340,Senate,N
"PAXTON, WARREN KENNETH JR.",REPUBLICAN PARTY,TX,Challenger,S6TX00388,Senate,C
"PELLETIER, SAUNDRA",DEMOCRATIC PARTY,ME,,S6ME00498,Senate,N
"PELTOLA, MARY",DEMOCRATIC PARTY,AK,Challenger,S6AK00276,Senate,C
"PERKINS, JO RAE",REPUBLICAN PARTY,OR,Challenger,S4OR00156,Senate,C
"PERRY, NEELAM TANEJA DR",NO PARTY AFFILIATION,FL,Challenger,S6FL00780,Senate,N
"PERRY, NEELAM TANEJA DR",NO PARTY AFFILIATION,FL,Challenger,S6FL00764,Senate,N
"PERRY, NEELAM TANEJA DR",NO PARTY AFFILIATION,FL,Challenger,S6FL00772,Senate,N
"PETERSEN, RAYMOND DAVID",REPUBLICAN PARTY,MN,Open seat,S4MN00551,Senate,N
"PETERS, GARY",DEMOCRATIC PARTY,MI,Incumbent,S4MI00355,Senate,C
"PHILLIPS, RIO",INDEPENDENT,WV,Challenger,S6WV00170,Senate,C
"PILE, CHELSAE",REPUBLICAN PARTY,GA,Challenger,S6GA00440,Senate,N
"PILE, CHELSAE",REPUBLICAN PARTY,GA,Challenger,S6GA00432,Senate,N
"PINKINS, TY",INDEPENDENT,MS,Challenger,S4MS00187,Senate,C
"PITTMAN, JONATHAN",DEMOCRATIC PARTY,AR,Challenger,S6AR00165,Senate,N
"PLATNER, GRAHAM",DEMOCRATIC PARTY,ME,Challenger,S6ME00373,Senate,C
"POND, SEAN M.",CONSTITUTION PARTY,CO,Challenger,S6CO00515,Senate,C
"PRIEST, JIM",DEMOCRATIC PARTY,OK,Challenger,S6OK04197,Senate,C
"PULLIAM, ALANDER",INDEPENDENT,CA,Challenger,S6CA01053,Senate,N
"QUICK, ORRICK ROMAINE",DEMOCRATIC PARTY,NC,Open seat,S6NC00423,Senate,N
"RAGAIN, BRIAN MATTHEW",REPUBLICAN PARTY,OK,Challenger,S6OK04262,Senate,C
"RAM, MELANIE",DEMOCRATIC PARTY,CA,Challenger,S6CA01079,Senate,N
"RANDALL, JARED",DEMOCRATIC PARTY,KY,Open seat,S6KY00252,Senate,N
"RASNER, REID",REPUBLICAN PARTY,WY,Open seat,S4WY00162,Senate,C
"REDPATH, WILLIAM",LIBERTARIAN PARTY,OH,Challenger,S6OH00429,Senate,C
"REED, JOHN F.",DEMOCRATIC PARTY,RI,Incumbent,S6RI00163,Senate,C
"REEVES, BRYCE",REPUBLICAN PARTY,VA,Challenger,S6VA00176,Senate,C
"RENCH, PHILLIP",INDEPENDENT,ME,Challenger,S6ME00282,Senate,C
"REYNOLDS, JASON STEPHEN",DEMOCRATIC PARTY,VA,Challenger,S6VA00150,Senate,N
"RICH, TIMOTHY",UNAFFILIATED,ME,Challenger,S6ME00415,Senate,N
"RICKETTS, PETE",REPUBLICAN PARTY,NE,Incumbent,S6NE00129,Senate,C
"RIKLEEN, ALEXANDER",DEMOCRATIC PARTY,MA,Challenger,S6MA00254,Senate,C
"RISCH, JAMES E MR.",UNKNOWN,ID,Incumbent,S8ID00092,Senate,C
"RIVERA, ERNEST ERNIE JOHN REV. DR.",REPUBLICAN PARTY,FL,Challenger,S6FL00897,Senate,C
"RIVERA, NATALIE",INDEPENDENT,NJ,Challenger,S6NJ00396,Senate,N
"ROBERTS, REECE",NON-PARTY,AK,Challenger,S6AK00318,Senate,N
"ROBINSON, MICHAEL D",DEMOCRATIC PARTY,PA,Challenger,S6PA00373,Senate,N
"RODRIGUEZ, DAIRA",DEMOCRATIC PARTY,ME,Challenger,S6ME00365,Senate,C
"RODRIQUEZ, ADAIR",DEMOCRATIC PARTY,IL,Open seat,S6IL00631,Senate,N
"ROGERS, MICHAEL J",REPUBLICAN PARTY,MI,Open seat,S4MI00595,Senate,C
"ROMANS, DALE",DEMOCRATIC PARTY,KY,Open seat,S6KY00369,Senate,C
"ROSE, DAKOTA",DEMOCRATIC PARTY,OH,Challenger,S6OH00403,Senate,N
"ROTH, DAVID JORDAN",DEMOCRATIC PARTY,ID,Challenger,S6ID00138,Senate,C
"ROUNDS, MIKE",REPUBLICAN PARTY,SD,Incumbent,S4SD00049,Senate,C
"ROY, JOSHUA S",REPUBLICAN PARTY,ID,Challenger,S6ID00153,Senate,C
"RUOHO, MIKE",REPUBLICAN PARTY,MN,Open seat,S4MN00486,Senate,N
"RUSSELL, JAMES RICHARD MR III",DEMOCRATIC PARTY,AR,Challenger,S6AR00181,Senate,N
"RYAN, JACOB",DEMOCRATIC PARTY,OR,Challenger,S6OR05192,Senate,N
"RYAN, KEVIN",DEMOCRATIC PARTY,IL,Open seat,S6IL00581,Senate,C
"SAAL, MAXWELL LEAVY",DEMOCRATIC PARTY,NH,Open seat,S6NH00224,Senate,N
"SAGE, NATHAN",DEMOCRATIC PARTY,IA,Open seat,S6IA00256,Senate,C
"SANFORD, MARSHALL C HON.",REPUBLICAN PARTY,SC,,S6SC04452,Senate,C
"SASSE, BENJAMIN E.",REPUBLICAN PARTY,NE,Challenger,S4NE00090,Senate,C
"SCANLON, MICHAEL",DEMOCRATIC PARTY,CO,Challenger,S6CO00457,Senate,N
"SCHILLING, JOSEPH DAVID",OTHER,IL,Open seat,S6IL00417,Senate,N
"SCHMIDT, PATRICK",DEMOCRATIC PARTY,KS,Challenger,S6KS00288,Senate,C
"SCHMOKER, TONY",REPUBLICAN PARTY,TX,Challenger,S6TX00321,Senate,N
"SCHOLTEN, JAMES",DEMOCRATIC PARTY,IA,Open seat,S6IA00264,Senate,C
"SCHWARTZBERG, STEVEN J",,IL,Open seat,S6IL00698,Senate,C
"SCHWARZE, ADAM",REPUBLICAN PARTY,MN,Open seat,S6MN00457,Senate,C
"SCOTT, GENEVIEVE",REPUBLICAN PARTY,MI,Open seat,S6MI00434,Senate,C
"SEDLETSKY, PAUL",INDEPENDENT,SC,Challenger,S6SC04312,Senate,N
"SEIDEN, KATHY W",REPUBLICAN PARTY,LA,Challenger,S6LA00573,Senate,C
"SHAHEEN, JEANNE",DEMOCRATIC PARTY,NH,Incumbent,S0NH00219,Senate,C
"SHAH, NIRAV",DEMOCRATIC PARTY,ME,Challenger,S6ME00449,Senate,N
"SHELLEY, *ANDREW NICHOLAS",REPUBLICAN PARTY,KY,Open seat,S6KY00294,Senate,N
"SHEPHERD, JUMP WESLEY",DEMOCRATIC PARTY,IL,Open seat,S6IL00599,Senate,N
"SHERMAN, JASON",INDEPENDENCE PARTY,MI,Open seat,S6MI00533,Senate,N
"SHOFFNER, HALLIE",DEMOCRATIC PARTY,AR,Challenger,S6AR00199,Senate,C
"SHREWSBURY, ZACHARY C",DEMOCRATIC PARTY,WV,Challenger,S4WV00357,Senate,C
"SHULLI, JOHN",REPUBLICAN PARTY,DE,Challenger,S6DE00198,Senate,C
"SIBHATU, LICHIA WOLDEGABREAL",REPUBLICAN PARTY,NC,Open seat,S2NC00547,Senate,N
"SIMMONS, JADE",INDEPENDENT,TX,Challenger,S6TX00503,Senate,N
"SIMMONS, JADE",INDEPENDENT,TX,Challenger,S6TX00495,Senate,N
"SIMONETTI, MARISA",NON-PARTY,MN,Open seat,S6MN00481,Senate,N
"SIMS, DANIEL M",LIBERTARIAN PARTY,TX,,S6TX00586,Senate,C
"SIVALINGAM, TEJASINHA",REPUBLICAN PARTY,NH,Open seat,S6NH00133,Senate,N
"SKELTON, TIMOTHY WILLIAM",REPUBLICAN PARTY,OR,Challenger,S6OR05184,Senate,N
"SKOVGARD, JIMMY MR",REPUBLICAN PARTY,WY,Open seat,S6WY00191,Senate,C
"SKRMETTA, ERIC",REPUBLICAN PARTY,LA,Challenger,S6LA00672,Senate,C
"SMERIGLIO, DANIEL C",REPUBLICAN PARTY,ME,Challenger,S6ME00290,Senate,N
"SMITH, ANDREW SCOTT",REPUBLICAN PARTY,MS,Challenger,S6MS00125,Senate,N
"SMITH, ANTHONY J MR",INDEPENDENT,IL,Open seat,S6IL00441,Senate,N
"SMITH, BERNADETTE",REPUBLICAN PARTY,MI,Open seat,S6MI00517,Senate,C
"SMITH, C.L. CHUCK JR",REPUBLICAN PARTY,VA,Challenger,S4VA00197,Senate,C
"SMITH, DAVID BROCK",REPUBLICAN PARTY,OR,Challenger,S6OR05218,Senate,C
"SMITH, JOSHUA DANIEL",REPUBLICAN PARTY,IA,Open seat,S6IA00207,Senate,N
"SMITH, TINA",DEMOCRATIC PARTY,MN,Incumbent,S8MN00578,Senate,C
"SMITH, TOBY MR.",JEWISH/CHRISTIAN NATIONAL,NM,Challenger,S6NM01137,Senate,N
"SOETAERT, MICHAEL",DEMOCRATIC PARTY,KS,Challenger,S2KS00097,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NY,,S6NY00524,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NY,,S6NY00516,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NY,,S6NY00508,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NY,,S6NY00490,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NV,,S6NV00374,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NM,Challenger,S6NM01202,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,IL,Open seat,S6IL00706,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,OH,Challenger,S6OH00452,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NJ,,S6NJ00479,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NJ,Challenger,S6NJ00453,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,HI,Challenger,S6HI00321,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,GA,Challenger,S6GA00473,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,WV,Challenger,S6WV00212,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,WY,Challenger,S6WY00233,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,OK,Challenger,S6OK04296,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,OR,Challenger,S6OR05226,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,FL,,S6FL00954,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,PA,Challenger,S6PA00399,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,FL,Challenger,S6FL00913,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NE,Challenger,S6NE00186,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,RI,Challenger,S6RI00312,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,RI,,S6RI00320,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,ND,Challenger,S6ND00124,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,NC,Open seat,S6NC00571,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,WI,,S6WI00178,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,WA,Challenger,S6WA00487,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,MA,Challenger,S6MA00320,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,MD,,S6MD03706,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,DE,Challenger,S6DE00255,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,DE,Challenger,S6DE00248,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,DC,,S6DC00048,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,DC,,S6DC00030,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,DC,Challenger,S6DC00014,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,CT,Challenger,S6CT05157,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,SC,,S6SC04478,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,CO,,S6CO00580,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,CO,,S6CO00572,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,VA,,S6VA00259,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,ME,,S6ME00506,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,CA,,S6CA01129,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,TN,Challenger,S6TN00422,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,CA,,S6CA01111,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,MI,,S6MI00574,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,AZ,Challenger,S6AZ00423,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,AS,Challenger,S6AS00015,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,MI,,S6MI00582,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,AL,,S6AL00534,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,MO,Challenger,S6MO00487,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,MN,Open seat,S6MN00580,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,TX,,S6TX00644,Senate,N
"SOLOMON, GAVIN",REPUBLICAN PARTY,AK,Challenger,S6AK00334,Senate,N
"SPENCER, MARK",REPUBLICAN PARTY,LA,Challenger,S6LA00698,Senate,C
"SPIDEL NEUMANN, SANDY",DEMOCRATIC PARTY,KS,Challenger,S6KS00262,Senate,C
"STANDRIDGE, JASON CLYDE MR.",AMERICAN PARTY,FL,Challenger,S6FL00574,Senate,N
"STEPHENS, THOMAS WAYNE",NO PARTY AFFILIATION,MI,Open seat,S6MI00509,Senate,N
"STEVENS, DENNIS GENE",DEMOCRATIC PARTY,PA,Challenger,S6PA00365,Senate,N
"STEVENS, DENNIS GENE MR",DEMOCRATIC PARTY,FL,Challenger,S6FL00707,Senate,N
"STEVENS, DENNIS GENE MR",DEMOCRATIC PARTY,FL,Challenger,S6FL00715,Senate,N
"STEVENS, HALEY",DEMOCRATIC PARTY,MI,Open seat,S6MI00426,Senate,C
"STEVENS, MAC",REPUBLICAN PARTY,NE,,S4NE00264,Senate,N
"STEVENSON, PAMELA",DEMOCRATIC PARTY,KY,Open seat,S6KY00211,Senate,C
